title,stars,text,predicted_sentiment
Pizza Hut - Union Place,1,waited 30 minutes take pizza hungry young kids car checking inside kitchen staff staff startedro make pizza lied saying pizza inside oven gave undercooked pizza asked speak manager making excused cover employee error stay away pizza hut total garbage,negative
Pizza Hut - Union Place,5,warm light atmosphere food delicious average parking available childrens play area available,positive
Pizza Hut - Union Place,5,place really awesome soon enter greeted staff members welcome seat come orders personal pan pizzas take time notice us take orders eventually bringing food table wasnt fast either said 15mins took like 45 much crowded pizza best class however better pizza hut soft yet crunchy crust overall really enjoyed experience wait didnt seem long due presence friends lot fun also bonus bell ring exit fun,positive
Pizza Hut - Union Place,4,melts superb kochchi dip,positive
Pizza Hut - Union Place,5,good experience,positive
Pizza Hut - Union Place,5,excellent,positive
Pizza Hut - Union Place,5,pretty nice nothing fancy get job done,positive
Pizza Hut - Union Place,5,2019 rated place 2 stars service food improved im changing ratings positive experience last visits 👏 customer service team serves smile 😃,positive
Pizza Hut - Union Place,3,friends tried new meltz pizza great really poor service waited 1 hour food arrive told order overbaked wait another 20 minites 👎,negative
Pizza Hut - Union Place,5,nice place tasty food,positive
Pizza Hut - Union Place,5,keep team 👌,positive
Pizza Hut - Union Place,5,childrens day good wibe,positive
Pizza Hut - Union Place,5,one best mainstream fast food outlets colombo,positive
Pizza Hut - Union Place,5,nice place busy great spicy pizza,positive
Pizza Hut - Union Place,5,great service highly recommend,positive
Pizza Hut - Union Place,4,nice customer service,positive
Pizza Hut - Union Place,5,beautiful big outlet union place staff going best usually little bit crowded lunch dinner time,positive
Pizza Hut - Union Place,5,primary outlet pizza hut restaurant chain sri lanka quality pizzas served perfect tasty atmosphere dinein restaurant eyecatching spacious ample parking space available,positive
Pizza Hut - Union Place,5,pizzahut branch best atmosphere,positive
Pizza Hut - Union Place,4,enything eat sri lanka spicyincluding pizza margherita,positive
Pizza Hut - Union Place,4,came brother taste new addition melts really tasty social media influencers informed anothe average product pizza hut taste okay enjoy bites waiting time high need wait untill waiters come get order need wait get order table need fait waiter get total amount need wait payment confirmation receipt,positive
Pizza Hut - Union Place,5,amazing peaceful place spend quality time loved ones delicious food friendly staff,positive
Pizza Hut - Union Place,5,great place dine play area kids,positive
Pizza Hut - Union Place,5,good food reasonable prices,positive
Pizza Hut - Union Place,3,service must ne improved,negative
Pizza Hut - Union Place,4,great location friendly staff kids play area well,positive
Pizza Hut - Union Place,5,went dinner outing family recently staff helpful didnt bother serve us frequently good experience staffs keep good work,positive
Pizza Hut - Union Place,5,highly recommend ❤️ superb customer service ✌ unbelievable service thashmilaa yatawara thanku service,positive
Pizza Hut - Union Place,5,delicious foods wating time,positive
Pizza Hut - Union Place,5,excellent staff food great,positive
Pizza Hut - Union Place,5,time tried melts 810 maybe 7510 think pizza better hiruni service girl hats service,negative
Pizza Hut - Union Place,5,best pizza hut ever visited food service atmosphere good perfect,positive
Pizza Hut - Union Place,5,good place good service,positive
Pizza Hut - Union Place,1,placed order came 1 hour late people ordered already left place food one eat restaurant didnt even refund nothing disaster food warm even,negative
Pizza Hut - Union Place,1,poor service,negative
Pizza Hut - Union Place,5,decent spot come chill servers really nice helpful messed order immediately apologized offered replace quality service fitting brand,negative
Pizza Hut - Union Place,5,aseeb service really good 👍🏻keep,positive
Pizza Hut - Union Place,5,great place friendly staff service,positive
Pizza Hut - Union Place,5,fantastic service,positive
Pizza Hut - Union Place,4,location good clean foods expected served customers shows social media,neutral
Pizza Hut - Union Place,5,best experience long time,positive
Pizza Hut - Union Place,4,recently opportunity dine pizza hut union place overall good experience atmosphere restaurant pleasant food tasted delicious however feel dining experience could even better staff bit polite efficient serving food demeanor lacked warmth friendliness would nice receive warm welcome feel appreciated customer despite minor setback pizza hut union place still offers good dining experience especially pizza lovers quality food pleasant environment make worth visiting staff could improve customer service skills believe place would even enjoyable diners,positive
Pizza Hut - Union Place,5,im told first ever pizza hut outlet sri lanka atmosphere nice private want enjoy nice lunch date weekend extra cold cocacola 2023 staff well trained professional always nearby cater needs,positive
Pizza Hut - Union Place,5,fully crowded sundayevening staff best appreciate efforts,positive
Pizza Hut - Union Place,1,delay,negative
Pizza Hut - Union Place,5,central pizzahut long pizzas nicer must say hope pizza huts take note,positive
Pizza Hut - Union Place,5,best service ever,positive
Pizza Hut - Union Place,2,pizza salty paid extra cheese could notice difference pizzas ordered asked drinks provided us 1 glass 4 people staff inexperienced,negative
Pizza Hut - Union Place,5,chicken lasagna cheesy sausages spaghetti sooo yum appreciable customer service clean beautiful atmosphere,positive
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,5,good place delicious pizzas friendly people give amazing customer service,positive
Pizza Hut - Union Place,4,drinks properly made tasted good pasta ordered mostly dry spicy pasta dish staff rather hurry take order trainee girl ultimately attended us later helpful enthusiastic,positive
Pizza Hut - Union Place,5,long time visited outlet different experience went family celebrate anniversary nice enjoyed surprised staffs ladies day took care kids us well thanks pizza hut union place,positive
Pizza Hut - Union Place,4,overall experience ok,positive
Pizza Hut - Union Place,5,pizza course gonna good 😂 service also excellent attended needs atmosphere quite dull expected light music least,negative
Pizza Hut - Union Place,5,delicious foodlava cake tasty loss choclate cup cake,positive
Pizza Hut - Union Place,5,good customer service never expected polite customer branch,positive
Pizza Hut - Union Place,5,good place visit friends service staff mindblowing place filled good vibes memories,positive
Pizza Hut - Union Place,3,significant extent restaurant like headless chicken chaos went stayed seated 10 servers running around one bothered even give menu asked appetizers came pizza time kids finished appetizers got pizza cold also noticed servers arguing issue went front counter pay bill utter chaos 3 people counters one seems proper instructions seems like folks super busy take away delivery orders happily neglecting dinein customers,negative
Pizza Hut - Union Place,5,excellent pizzas service,positive
Pizza Hut - Union Place,5,tastiest among pizza huts,negative
Pizza Hut - Union Place,1,several outlets worst ever take union place staff maharagama branch show treat guest learn people big headed never going back ever,negative
Pizza Hut - Union Place,4,recommended place nice place tasty pizza 🍕 staff friendly,positive
Pizza Hut - Union Place,5,pizza hut union place og pizza sri lanka many happy memories pizza still good,positive
Pizza Hut - Union Place,5,nice place,positive
Pizza Hut - Union Place,1,im regular customer pizza hut im ashamed say mawanella pizza hut branch week 16052023 dinner wife wasnt happy customer would like inform charge 300 ruppes service im willing pay reason dont find good customer service services mawanella pizza hut air conditioning turned even staff front desk takes orders able explain menu offers available time hand washing aria clean probably tissue available sing dinner table even offer classe water meal ask self guys expecting us pay service charges must provided good services expect otherwise ask guest whether willing pay service charges paid service charges good reasonable reason😡,negative
Pizza Hut - Union Place,3,average level service level standard outlet got declined time compared early days john keells started first outlet,negative
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,4,dine taste good,positive
Pizza Hut - Union Place,3,cannot handle orders busy situations caring staff worst pizza hut experience ever,negative
Pizza Hut - Union Place,5,nice experience,positive
Pizza Hut - Union Place,4,place needs tlc,negative
Pizza Hut - Union Place,3,food good service low charge high nobody attentive atmosphere manageable,negative
Pizza Hut - Union Place,5,great experience complaint washrooms far away restaurant food staff everything great,positive
Pizza Hut - Union Place,2,good place staff friendly tried bbq chicken margherita pizza dont like spices watch taste buds,positive
Pizza Hut - Union Place,5,pizza hut sri lanka way nicer hometown 😋,positive
Pizza Hut - Union Place,5,good servicefriendly staff,positive
Pizza Hut - Union Place,4,staff friendly food good bathroom dirty,positive
Pizza Hut - Union Place,5,take awayquick servicegood staff,negative
Pizza Hut - Union Place,2,customer service poor …,negative
Pizza Hut - Union Place,5,superb service specially hospitality manager rahal remarkable,positive
Pizza Hut - Union Place,5,pizza hut union place icon pizza hut good staff tasty pizzas,positive
Pizza Hut - Union Place,5,amazing customer service,positive
Pizza Hut - Union Place,2,attending waiters couldnt understand wouldnt take orders english polite enough sparse topping minimal cheese pizza cooked well compared branches near majestic city locations outside colombo quality poor ambience pleasant good background music good cleanlinesss dine location,negative
Pizza Hut - Union Place,1,customer service bad cant imagine childhood union place pizzhut one best fast food dining shop colombo didnt even provide tissues us young age waiters well prepared serve food,negative
Pizza Hut - Union Place,1,worst customer service experience ever management good management issues,negative
Pizza Hut - Union Place,5,ambiente moderno e ben climatizzato servizio veloce staff gentile pizza buona,positive
Pizza Hut - Union Place,5,food phenomenal visiting branch couple years disappointed would recommend,neutral
Pizza Hut - Union Place,5,🍕 pizza lovers 😋 place,positive
Pizza Hut - Union Place,5,delicious pizza 🍕 loved every bit,positive
Pizza Hut - Union Place,1,crowded didnt relax vibe eat calmly,negative
Pizza Hut - Union Place,5,good friendly staff treat customers respectfully,positive
Pizza Hut - Union Place,1,worst customer service take customers even though running capacity 20 people took 40 minutes prepare order even serving drinks ordered mean time even served drinks 30 min dont capacity serve 20 drinks served 10 keep 10 waiting collect glasses serve remaining worst part end charged 3000 service charge,negative
Pizza Hut - Union Place,4,good,positive
Pizza Hut - Union Place,4,good service usual lovely food enough parking space less crowded ordered family fun customisations,positive
Pizza Hut - Union Place,3,bon pour depanner,positive
Pizza Hut - Union Place,5,good place dine friendly fast service,positive
Pizza Hut - Union Place,5,one best pizza huts sl bit crowded maybe given time visit apart good experience,negative
Pizza Hut - Union Place,5,branch manager azeem refreshing change regards attitude service helpfulness courtesy,positive
Pizza Hut - Union Place,4,little dull good setup 👍,negative
Pizza Hut - Union Place,5,best pizza hut ever 👍,positive
Pizza Hut - Union Place,1,ordered hot garlic prawn pizza found peice prawns worth money spent either pizzas bought last night lava cake wonder pricing 540 see portion served see stars worth go 5 star hotel spend less eat better varieties food never step pizza hut,negative
Pizza Hut - Union Place,5,tried sausage roll pizza bt cheesy may reason ate little late taste normal 1st time taste pizza pizza hut located children park good point spent evening interior designs superb,positive
Pizza Hut - Union Place,4,dont eat christmas pizza dont like pizza sweet pizza awsome sweet topping made awful 😒 milkshake worth price though taaasty ❣️,negative
Pizza Hut - Union Place,1,place needs renovation dirty walls change table due untidiness marks table service also poor steward left cutleries table water drops water glasses queried reply never wipe glasses far suggest choose place taste pizzas,negative
Pizza Hut - Union Place,3,crowed served late night,negative
Pizza Hut - Union Place,4,good fun place food good,positive
Pizza Hut - Union Place,1,service best,positive
Pizza Hut - Union Place,1,hardly recommend union place pizza hut slow serving taste also standard went twice disappointed times,negative
Pizza Hut - Union Place,3,food tasty good restaurant clean saw cockroach running table,positive
Pizza Hut - Union Place,5,👍👍👍,negative
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,4,overall good experience food portions small toppings also less compared pizza hut outlets service somewhat ok good atmosphere fun friends,positive
Pizza Hut - Union Place,5,good food,positive
Pizza Hut - Union Place,5,best sri lankas 1st pizza hut,positive
Pizza Hut - Union Place,5,best place pizza lovers always buzzing crowd excitement lasagna spaghetti bolognese equally delicious,positive
Pizza Hut - Union Place,1,worst customer service stuart attitude customer service srimaly really disappointed regular customer pizza hut second thoughts coming new reviewer better avoid thanks ruining fun day pizza hut 👎,negative
Pizza Hut - Union Place,1,experienced unprofessional act union place pizza hut placed order 235 waited 320 one showed updated order asked cashier looked irritated inquiry asked sit back patiently 40 mins 1 hour asked waiter took order said processing bulk order might take another 5 10 mins waited asked give bill drinks leave discussing manager gave bill processing bulk order informed beforehand least shown friendly gesture inquired,negative
Pizza Hut - Union Place,5,really good atmosphere friendly staff best staff ever ❤️,positive
Pizza Hut - Union Place,1,poor customer service 😤,negative
Pizza Hut - Union Place,5,good place,positive
Pizza Hut - Union Place,5,great place best customer service,positive
Pizza Hut - Union Place,1,pour service,positive
Pizza Hut - Union Place,5,good service quality standard pizza good compared outlets,positive
Pizza Hut - Union Place,5,perfect place good staff,positive
Pizza Hut - Union Place,5,attending kids birthday environment exceptional service unmatched,positive
Pizza Hut - Union Place,5,best,positive
Pizza Hut - Union Place,3,need improvements customer services,negative
Pizza Hut - Union Place,4,pizza hut always great place 🍕 loved masala magic devilled chicken,positive
Pizza Hut - Union Place,5,good taste large dine space familys,positive
Pizza Hut - Union Place,5,,positive
Pizza Hut - Union Place,4,average pizza shop might get busy sometimes good place hangout friend family,positive
Pizza Hut - Union Place,1,cutomer service union place terriblehave wait half hour staff come order another half hour come give billand top giving pizza order forget orderedbad staff chit chat going work done attending cutomers properlyvery upset things going pizza hut union place,negative
Pizza Hut - Union Place,4,focus healthy food,positive
Pizza Hut - Union Place,5,atmosphere quiet food service still top notch going spend time suitable place nearby went rainy day sitting near glass near road feeling amazing music inside silence mist clinging glass created different vibe unforgettable moment delicious hot pizza,positive
Pizza Hut - Union Place,3,friendly staff ❤️,positive
Pizza Hut - Union Place,2,really need step service food quality,negative
Pizza Hut - Union Place,4,quiet place dinner relax enjoy meal,positive
Pizza Hut - Union Place,5,really love place😍❤️ good friendly staff❤️❤️,positive
Pizza Hut - Union Place,4,good service view good play area children clean washrooms well,positive
Pizza Hut - Union Place,4,one best pizza hut outlets town busy expect delays service,negative
Pizza Hut - Union Place,5,lovely place,positive
Pizza Hut - Union Place,3,need wash basin near dining place otherwise need goto restroom wash hands meal,negative
Pizza Hut - Union Place,5,good hospitality,positive
Pizza Hut - Union Place,4,pizza union place truly remarkable good play area good place host kids bday parties private area next play ground well ample parking spaces available staff friendly efficient,positive
Pizza Hut - Union Place,3,wait long time get food served theyre busy takeaways,negative
Pizza Hut - Union Place,5,bell best,positive
Pizza Hut - Union Place,5,spacious place,positive
Pizza Hut - Union Place,4,good service food,positive
Pizza Hut - Union Place,5,good delicious products pitzza hut used big lots cheese days decreased ingredients pitzza make little pitzza eat bread instead pitzza,negative
Pizza Hut - Union Place,5,one go place like pizza hut big dinein area friendly staff dont know thing put toppings branches maybe,negative
Pizza Hut - Union Place,5,service food fantastic 🙂,positive
Pizza Hut - Union Place,4,try pan pizza,negative
Pizza Hut - Union Place,1,visited quick diningbut took mor 45 minutes give food oder dining also much noisy recommended outlet diningbut dont take away delivery,negative
Pizza Hut - Union Place,3,polite staff,positive
Pizza Hut - Union Place,4,great place dine taste pizza nd related menus environment good staffs really friendly service good,positive
Pizza Hut - Union Place,4,nothing exciting except spacious,negative
Pizza Hut - Union Place,4,nice place restuarant pizza hut branchso expect get service charge,positive
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,3,staff interested serving customers repeat requests couple times,negative
Pizza Hut - Union Place,5,tasty 🤤🍕,positive
Pizza Hut - Union Place,5,colonbo,positive
Pizza Hut - Union Place,1,wärend wir platz sassen wurden wir weggeschickt weil der strom ausgefallen war wir konnten nur take away bestellen als tourist ist es schwierig das essen zurück ins hotel ca 5 km entfernt mitzunehmen,negative
Pizza Hut - Union Place,5,great atmosphere dinner friends family play area kids therefore parents leave thm spnd quality time service good lots parking space available finally got tasty 😋 🍕,positive
Pizza Hut - Union Place,1,worst customer service experience ever ordered pizza lava cake didnt give lava cake finished pizza asked cake said forgot cake waited another 15 mins cake didnt provide tissues us,negative
Pizza Hut - Union Place,3,staff tried best service subpar ordered two pizzas second one came 25 minutes first,negative
Pizza Hut - Union Place,4,nice dine experience,positive
Pizza Hut - Union Place,3,okay visit,positive
Pizza Hut - Union Place,1,pizza hut interview workers,negative
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,5,love place verry good service,positive
Pizza Hut - Union Place,4,staff great well atmospherehowever pizza toppings improved crust bit thick oily compared restaurants food delicious,positive
Pizza Hut - Union Place,5,great customer service,positive
Pizza Hut - Union Place,5,good place hangout friends surprisingly appetizers came pizzas 😂 staff friendly food ok,positive
Pizza Hut - Union Place,5,went personal pizza lasagna served hot tastier pizza hut branches must say super delicious food friendly staff,positive
Pizza Hut - Union Place,5,super evening meeting nice food good service thank,positive
Pizza Hut - Union Place,5,clean peaceful place good place spend valuable time,positive
Pizza Hut - Union Place,4,nice placedelicious food good hospitality,positive
Pizza Hut - Union Place,2,sad run 😔,negative
Pizza Hut - Union Place,4,good ☺️,positive
Pizza Hut - Union Place,5,good place dining,positive
Pizza Hut - Union Place,4,pizza good got srilankan spicy chicken thin crust think default cheese percentage added lower used add days,negative
Pizza Hut - Union Place,5,serving good delicious pizza great time family members satisfied onky handwash area better change,positive
Pizza Hut - Union Place,5,best pizzahut place visited far sri lanka,positive
Pizza Hut - Union Place,1,bad food,negative
Pizza Hut - Union Place,5,good food staying ture pizza hut brand quick service friendly staff good pizza hut visit,positive
Pizza Hut - Union Place,5,great service,positive
Pizza Hut - Union Place,5,😍,negative
Pizza Hut - Union Place,4,food good delicious taking much time serve order,positive
Pizza Hut - Union Place,3,bad looking good,positive
Pizza Hut - Union Place,1,made hate pizza,negative
Pizza Hut - Union Place,5,excellent service staff well trained,positive
Pizza Hut - Union Place,1,messed order clearly explaining order,negative
Pizza Hut - Union Place,5,superb customer service word describe special thanks steward aadil best service kind guy came perfect satisfaction thank much 😍 🥰 💓 💗 💛,positive
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,2,disappointed used get good quality pizzas branch thin crust pizza ordered time really dry even flavours needs improvement sure cheese,negative
Pizza Hut - Union Place,1,one friends visited outlet hectic day took 12 hour take order 1 hour prepare orderand worst part inquire every order problem food service poor,negative
Pizza Hut - Union Place,5,bit crowded weekends friendly staff,positive
Pizza Hut - Union Place,5,never visited delivery service really good used web portal delivery guy friendly great service,negative
Pizza Hut - Union Place,5,always love,positive
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,4,best pizzas town,positive
Pizza Hut - Union Place,1,worst customer service waited 45 mins without order ask order cancelled never happen really frustated experinecr,negative
Pizza Hut - Union Place,5,pizza hut best pizzas specially tandoori chicken pizza hawaiian chicken pizza awesome large varieties pizza like pizza hut service get top notch people working friendly service fast pizza hut go place pizzas inside atmosphere ambiance really good design seating layout really good overall highly recommend place go enjoy mouth watering pizzas,positive
Pizza Hut - Union Place,1,poor service,negative
Pizza Hut - Union Place,5,one busiest outlet ever seen customer service good,negative
Pizza Hut - Union Place,2,grottiger service den zweiten stern gab es nur weil die pizza ok war für mich keine weiterempfehlung,negative
Pizza Hut - Union Place,1,poor service glasses drinking water provided saying glasses enough crowd time worst outlet manager shift manager date 31st march 2022 around 1200100 pm,negative
Pizza Hut - Union Place,1,disappointed customer service hospitalitythere 8 people dine served 8plates ordered water bottles served one glass 8 asked glasses said served cups us wont enough glasses serve others came know don’t enough glasses serve customers manager respond requirements one staff member argued us charge “service charge” can’t really service well,negative
Pizza Hut - Union Place,2,bad hospitality,negative
Pizza Hut - Union Place,1,poorest experience ever pizza hut visited almost locations visit terrible served food drinks never came reminding time got drinks food gone ordered additional foods eating two different guys came asked ordered additional foods happened poor service huge black spot pizza giants name must say made upset generally like giving people 5 stars appreciate locations even small mistakes total disaster,negative
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,3,finally properly getting review pizza hut eating years yes never bothered taking time review honest love pizza hut compared brand category food issue others… consistency never days pizzas good make point tell gets frustrating time social media campaigns pictures usual pizzas look like given price pizzas however never cheese also enough times stuffing great lets rate now…my usual orders following going rate dishes next one hot butter cuttlefish pizza flavor 810 stuffing quality 410 chicken hawaiian pizza flavor 8710 stuffing quality 210 literally counter personal pan pizza 4 cubes pineapples… 4 large close 15… nothing pizza people want pineapple 😊 hot spicy pizza flavor 910 stuffing quality 510 anyone remembers outlet served slices liberty plaza cresecat know more… come guys… stand keep reputation cheese lovers flavor 710 stuffing quality 410 chicken lovers flavor 810 stuffing quality 710 first time ordered given number toppings came well… double chicken cheese flavor 810 stuffing quality 810 one stood out… longer available menu… ☹ marketing team needs work discount voucher survey done make impossible get 20 discount complete retain old bill till next time order… send sms something guys come overall pizza hut best best however unless proper survey done feedback listened steps taken maintain good stuffing consistency going loose clients look forward hearing back pizza hut concerns,negative
Pizza Hut - Union Place,3,food normal outlets staff clumsy order delayed,negative
Pizza Hut - Union Place,5,absolutely love place staff food order ceasars salad soup pizza hut awesome update went quick bite long time things changed chicken ceasars salad soups longer available menu become like pizzahut seating pretty much,negative
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,5,nice place dinning takeaway,positive
Pizza Hut - Union Place,5,friendliest staff ever u drop eat pizza even 2300 hrs giys attend within short period time pizzas good,positive
Pizza Hut - Union Place,5,friendly staff pizza good usual,positive
Pizza Hut - Union Place,1,worst ever experience without food,negative
Pizza Hut - Union Place,1,food awesome took 35 mins get two orders garlic bread asked counter hastily served look ready reason didnt get need improve,negative
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,1,busy place organized 🤯🤯,negative
Pizza Hut - Union Place,4,much crowded friendldy staff,negative
Pizza Hut - Union Place,5,creative nice clean place,positive
Pizza Hut - Union Place,2,good food value money friendly staff place bit crowded,positive
Pizza Hut - Union Place,5,best place eat enjoy day fun,positive
Pizza Hut - Union Place,3,disappointed service,negative
Pizza Hut - Union Place,5,best pizza town best service,positive
Pizza Hut - Union Place,1,enough staff check dining 2boys running dining managers supervisors identify floor,negative
Pizza Hut - Union Place,3,good,positive
Pizza Hut - Union Place,1,bad service bad slow motion,negative
Pizza Hut - Union Place,4,good experience restaurant friendly staff really prefer delight customer experience,positive
Pizza Hut - Union Place,3,1st piza hut sri lanka union place earlier croud moved hapos arthurs piza much tester good quality reasonable servings good atmosphere try 👍,positive
Pizza Hut - Union Place,5,excellent service,positive
Pizza Hut - Union Place,5,crowded evenings good service,positive
Pizza Hut - Union Place,3,always crowded holidays service excellent whenever visited family,positive
Pizza Hut - Union Place,5,great service,positive
Pizza Hut - Union Place,2,ac working properly hot staff friendly,positive
Pizza Hut - Union Place,5,food tasty good service,positive
Pizza Hut - Union Place,4,good customer service,positive
Pizza Hut - Union Place,5,super,positive
Pizza Hut - Union Place,5,calm cool environment food family friends,positive
Pizza Hut - Union Place,3,branded restaurant wouldnt expect small size pizza uk 🇬🇧 order small size individual get fair deal money however like toastie size however like good rather choose something else future,negative
Pizza Hut - Union Place,5,good place,positive
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,1,worst place getting food go one take orders main counter folks ignoring calls one worst service sub continent,negative
Pizza Hut - Union Place,5,quality foods,positive
Pizza Hut - Union Place,5,experienced great experience staffs outlet served great service hot food low time order received 🖤👍,negative
Pizza Hut - Union Place,4,great taste excellent customer service peaceful ambience lot available spaces im still think single cabinet ceiling,positive
Pizza Hut - Union Place,2,apparently first pizza hut colombo read written wall pizza hut wrong standards days someone explain potion got union place picture published borella thought thats borella looks like pizza hut sri lanka doesnt standards anymore totally dissappointed 😒😒😒,negative
Pizza Hut - Union Place,4,found hair slice offered replacement smaller version,negative
Pizza Hut - Union Place,4,good,positive
Pizza Hut - Union Place,3,x treat place,positive
Pizza Hut - Union Place,5,service good friendly table cleaned sanitized taken seats try mayonnaise base cheese different interesting taste,positive
Pizza Hut - Union Place,5,exceptional customer service union place outlet ive received order pizzas toppled mistake rider made complaint facebook messenger issue rectified 2 days outlet good enough send complementary ones another day keep,negative
Pizza Hut - Union Place,4,love pizza place,positive
Pizza Hut - Union Place,5,really good experience preferable dine rather take away andor delivery,positive
Pizza Hut - Union Place,5,good service tasty food,positive
Pizza Hut - Union Place,5,great place,positive
Pizza Hut - Union Place,5,loved pepperoni 🍕,positive
Pizza Hut - Union Place,5,friendly staff food tasty 😋,positive
Pizza Hut - Union Place,5,always best pizza industry srilanka pizza hut best world quality customer service taste well,positive
Pizza Hut - Union Place,4,good,positive
Pizza Hut - Union Place,5,nice,positive
Pizza Hut - Union Place,5,great staff,positive
Pizza Hut - Union Place,5,good service,positive
Pizza Hut - Union Place,5,god testing,negative
Pizza Hut - Union Place,3,portion sizes gotten lot smaller,negative
Pizza Hut - Union Place,5,oldest best outlet managed keep charm food still great,positive
Pizza Hut - Union Place,4,always order thin crust pizzas believe crust become bit dense usual otherwise flavour point delicious double chocolate milkshake treat little son enjoyed mac cheese,positive
Pizza Hut - Union Place,5,fast hot n delicious food bussy outlet seen lovely staff hear,positive
Pizza Hut - Union Place,4,place clean good service taest worth money,positive
Pizza Hut - Union Place,5,superior valuable,positive
Pizza Hut - Union Place,4,picking covid relaxation inhouse dining main outlet yet offer full potential,positive
Pizza Hut - Union Place,5,nice atmosphere,positive
Pizza Hut - Union Place,5,good,positive
Pizza Hut - Union Place,1,poor method giving discounts making things complecated willing give away discount promise got 20 walked union place get offer terrible experience go web msq makes life hard simple give offer let use rather waiting counter get,negative
Pizza Hut - Union Place,5,great place enjoy tasty 🍕 good visit friends family,positive
Pizza Hut - Union Place,4,good choice food quality choice taste excellent orders take time good service,positive
Pizza Hut - Union Place,5,excellent service amidst covid restrictions,positive
Pizza Hut - Union Place,5,tasty pizza everybody meal hear vegetarian non vegetarian pizza available hear safety procedure covid19 also clean staff friendly helpfully favorite one thanduri chicken pizza cheese,positive
Pizza Hut - Union Place,4,good,positive
Pizza Hut - Union Place,5,favourite pizza,positive
Pizza Hut - Union Place,5,best ever place pizza 🍕 clean spacious place cool environment great customer service 🙌,positive
Pizza Hut - Union Place,5,friendly service quickserving food ample space,positive
